token_address,ticker,chain,platform,launch_ts,t_window_hours,total_buy_volume_eth,total_buy_volume_eth_decayed,unique_buyers,buyer_volumes_eth_json,lp_depth_eth,lp_removed_24h_eth,early_holders_count,early_holders_still_holding,hp_delta_recent,holder_count,holder_balances_json,outcome_30d_holder_retention,outcome_30d_price_floor,outcome_30d_volume_slope,outcome_30d_composite,outcome_60d_holder_retention,outcome_60d_price_floor,outcome_60d_volume_slope,outcome_60d_composite,outcome_90d_holder_retention,outcome_90d_price_floor,outcome_90d_volume_slope,outcome_90d_composite,survived_to_day_7,hp_trajectory_json,name,creator_address,notes
0x20e82c0cfbf643db51292415dd257f840a5bd275,Fenn,base,clanker,1772087169,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Fenn,0xfc426dfeae55dae2f936a592450c9ecea87a5736,no swaps in 90d;zero-activity
0x60c53cde4e098ab79eb72b5b963c7fd77b671b07,ClawdScan,base,clanker,1771644081,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],ClawdScan,0xd47292eb9e4d206cfefd4347bfbfc4622454ba64,no swaps in 90d;zero-activity
0x4dd8368604f038b6a5ad8bf8ed6bc55ec5850637,TRUMPXX,base,clanker,1771483339,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],TRUMPXX,0xfc426dfeae55dae2f936a592450c9ecea87a5736,no swaps in 90d;zero-activity
0x9c7cf7baf2fdd9bc5ce691afb7f96c043e757b07,SILTI,base,clanker,1771663627,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],SILTI,0xd47292eb9e4d206cfefd4347bfbfc4622454ba64,no swaps in 90d;zero-activity
0xf9fe498768480d4b616700dd75aa956ceaec5b07,LUNA,base,clanker,1772797957,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],LUNA,0xb3a0a76f3b684eb0d07fb977759bda6746e5f453,no swaps in 90d;zero-activity
0x1511189287c0b14ad2ec9501595317772abf4606,Moonge,base,clanker,1772024011,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Moonge,0xfc426dfeae55dae2f936a592450c9ecea87a5736,no swaps in 90d;zero-activity
0x8f105317d7cadc9a619b5ecc3d9fe8d1eb0f3b07,attack,base,clanker,1771661847,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],attack,0xac18e750783053d9386872b8326067685d56c948,no swaps in 90d;zero-activity
0x56a06d523c0d48ea14648468fe65d5dd3f841b07,Conjunct,base,clanker,1771580507,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Conjunct,0x04504bd6d6a96bee9642b6b8e1b62cb89023e49c,no swaps in 90d;zero-activity
0x6433f5c50d10bf6076f769e4a35d3d458602db07,CN,base,clanker,1771700569,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],CN,0x8a133db29a263400717b56dff570c61e1f0662f3,no swaps in 90d;zero-activity
0x50283d0f15816fb92f4fd8f94cc4808df1c69b07,TAI,base,clanker,1776428729,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],TAI,0x18b3ce0c3fc6dda03488e393244f22948b08e1ea,no swaps in 90d;zero-activity
